address,latitude,longitude,name,number,street1,street2,cluster1,cluster2,cluster
Glenelg St / Merivale St,-27.478653,153.019123,94 - GLENELG ST / MERIVALE ST,94,Glenelg St,Merivale St,8.0,8.0,5.0
Stanley St / Melbourne St,-27.475039,153.020323,95 - STANLEY ST / MELBOURNE ST,95,Stanley St,Melbourne St,25.0,8.0,18.0
Grey St / Melbourne St,-27.474722,153.018694,96 - GREY ST / MELBOURNE ST,96,Grey St,Melbourne St,8.0,8.0,5.0
Thynne Rd / College Rd,-27.499963,153.017633,97 - THYNNE RD / COLLEGE RD,97,Thynne Rd,College Rd,8.0,8.0,18.0
Kurilpa Point / Montague Rd,-27.469658,153.016696,98 - KURILPA POINT / MONTAGUE RD,98,Kurilpa Point,Montague Rd,8.0,21.0,18.0
Cordelia St / Peel St,-27.474011,153.014541,99 - CORDELIA ST / PEEL ST,99,Cordelia St,Peel St,8.0,8.0,23.0
Melbourne St /  Edmondstone St,-27.47666,153.013287,100 - MELBOURNE ST / EDMONDSTONE ST,100,Melbourne St,Edmondstone St,8.0,8.0,5.0
Russell St / Edmondstone St,-27.478235,153.015173,101 - RUSSELL ST / EDMONDSTONE ST,101,Russell St,Edmondstone St,8.0,8.0,23.0
Besant St / Vulture St,-27.480885,153.014585,102 - BESANT ST / VULTURE ST,102,Besant St,Vulture St,8.0,27.0,27.0
Vulture St / Thomas St,-27.480768,153.011121,103 - VULTURE ST / THOMAS ST,103,Vulture St,Thomas St,27.0,8.0,5.0
Hardgrave Rd / Skinner St,-27.482082,153.006981,104 - HARDGRAVE RD / SKINNER ST,104,Hardgrave Rd,Skinner St,8.0,8.0,16.0
Dornoch Tce / Hardgrave Rd,-27.487155,153.007281,105 - DORNOCH TCE / HARDGRAVE RD,105,Dornoch Tce,Hardgrave Rd,8.0,8.0,27.0
Orleigh St / Hoogley St,-27.489807,153.002405,106 - ORLEIGH ST / HOOGLEY ST,106,Orleigh St,Hoogley St,8.0,8.0,5.0
Drury St / Montague Rd,-27.48872,152.999585,107 - DRURY ST / MONTAGUE RD,107,Drury St,Montague Rd,8.0,21.0,21.0
Rogers St / Montague Rd,-27.485078,153.002382,108 - ROGERS ST / MONTAGUE RD,108,Rogers St,Montague Rd,8.0,21.0,21.0
Montague Rd / Skinner St,-27.48172,153.00436,109 - MONTAGUE RD / SKINNER ST,109,Montague Rd,Skinner St,21.0,8.0,18.0
Jane St / Montague Rd,-27.478214,153.006181,110 - JANE ST / MONTAGUE RD,110,Jane St,Montague Rd,8.0,21.0,21.0
Donkin St / Montague Rd,-27.476474,153.008182,111 - DONKIN ST / MONTAGUE RD,111,Donkin St,Montague Rd,8.0,21.0,21.0
Bank St / Mollison St,-27.476724,153.010063,112 - BANK ST / MOLLISON ST,112,Bank St,Mollison St,8.0,1.0,1.0
Edmondstone St / Vulture St,-27.480164,153.016181,113 - EDMONDSTONE ST / VULTURE ST,113,Edmondstone St,Vulture St,8.0,27.0,5.0
Colchester St / Ernest St,-27.479876,153.021076,114 - COLCHESTER ST / ERNEST ST,114,Colchester St,Ernest St,8.0,8.0,21.0
Montague Rd / Brereton St,-27.474227,153.011164,115 - MONTAGUE RD / BRERETON ST,115,Montague Rd,Brereton St,21.0,8.0,21.0
Cordelia St / Ernest St,-27.481137,153.019284,116 - CORDELIA ST / ERNEST ST,116,Cordelia St,Ernest St,8.0,8.0,8.0
Vulture St / Tribune St,-27.482197,153.020894,117 - VULTURE ST / TRIBUNE ST,117,Vulture St,Tribune St,27.0,8.0,18.0
Melbourne St / Merivale St,-27.474755,153.016687,118 - MELBOURNE ST / MERIVALE ST,118,Melbourne St,Merivale St,8.0,8.0,21.0
Sidon St / Little Stanley St,-27.481808,153.025477,119 - SIDON ST / LITTLE STANLEY ST,119,Sidon St,Little Stanley St,8.0,25.0,18.0
